,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,emotionID,textID,sex,age,voice id,address,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
8128,8248,8271,8271,3,9,f,55,10134,C:/Users/vcc/Desktop/project ml/voice/10134.wav,,,,,,,,
12709,12829,12852,12852,3,9,m,29,8531,C:/Users/vcc/Desktop/project ml/voice/8531.wav,,,,,,,,
10029,10149,10172,10172,2,1,f,20,3858,C:/Users/vcc/Desktop/project ml/voice/3858.wav,,,,,,,,
10349,10469,10492,10492,2,1,m,47,15282,C:/Users/vcc/Desktop/project ml/voice/15282.wav,,,,,,,,
8811,8931,8954,8954,1,9,m,31,8886,C:/Users/vcc/Desktop/project ml/voice/8886.wav,,,,,,,,
2827,2827,2850,2850,3,7,m,51,11052,C:/Users/vcc/Desktop/project ml/voice/11052.wav,,,,,,,,
457,457,457,457,2,9,f,46,2400,C:/Users/vcc/Desktop/project ml/voice/2400.wav,,,,,,,,
11166,11286,11309,11309,4,3,f,23,10191,C:/Users/vcc/Desktop/project ml/voice/10191.wav,,,,,,,,
15768,15888,15912,15912,1,6,m,23,9715,C:/Users/vcc/Desktop/project ml/voice/9715.wav,,,,,,,,
7393,7513,7536,7536,1,4,m,22,9907,C:/Users/vcc/Desktop/project ml/voice/9907.wav,,,,,,,,
8713,8833,8856,8856,3,4,m,23,8788,C:/Users/vcc/Desktop/project ml/voice/8788.wav,,,,,,,,
5706,5826,5849,5849,2,9,m,30,10779,C:/Users/vcc/Desktop/project ml/voice/10779.wav,,,,,,,,
9361,9481,9504,9504,3,5,f,48,9072,C:/Users/vcc/Desktop/project ml/voice/9072.wav,,,,,,,,
2395,2395,2396,2396,1,10,f,46,331,C:/Users/vcc/Desktop/project ml/voice/331.wav,,,,,,,,
448,448,448,448,1,10,f,46,2363,C:/Users/vcc/Desktop/project ml/voice/2363.wav,,,,,,,,
12856,12976,13000,13000,3,6,m,62,146,C:/Users/vcc/Desktop/project ml/voice/146.wav,,,,,,,,
11198,11318,11341,11341,4,1,m,20,10223,C:/Users/vcc/Desktop/project ml/voice/10223.wav,,,,,,,,
1350,1350,1351,1351,4,5,f,27,16776,C:/Users/vcc/Desktop/project ml/voice/16776.wav,,,,,,,,
9956,10076,10099,10099,2,8,m,58,3806,C:/Users/vcc/Desktop/project ml/voice/3806.wav,,,,,,,,
12159,12279,12302,12302,1,1,f,19,14759,C:/Users/vcc/Desktop/project ml/voice/14759.wav,,,,,,,,
9038,9158,9181,9181,4,5,f,44,9273,C:/Users/vcc/Desktop/project ml/voice/9273.wav,,,,,,,,
15443,15563,15587,15587,4,4,f,28,12441,C:/Users/vcc/Desktop/project ml/voice/12441.wav,,,,,,,,
10900,11020,11043,11043,1,10,f,24,5613,C:/Users/vcc/Desktop/project ml/voice/5613.wav,,,,,,,,
5952,6072,6095,6095,1,5,m,65,5073,C:/Users/vcc/Desktop/project ml/voice/5073.wav,,,,,,,,
5312,5432,5455,5455,1,3,f,30,13312,C:/Users/vcc/Desktop/project ml/voice/13312.wav,,,,,,,,
11092,11212,11235,11235,1,2,f,23,6378,C:/Users/vcc/Desktop/project ml/voice/6378.wav,,,,,,,,
