,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,emotionID,textID,sex,age,voice id,address,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
11461,11581,11604,11604,3,6,f,46,9196,C:/Users/vcc/Desktop/project ml/voice/9196.wav,,,,,,,,
124,124,124,124,1,5,f,41,16133,C:/Users/vcc/Desktop/project ml/voice/16133.wav,,,,,,,,
7095,7215,7238,7238,4,5,m,20,4156,C:/Users/vcc/Desktop/project ml/voice/4156.wav,,,,,,,,
12951,13071,13095,13095,4,10,m,25,203,C:/Users/vcc/Desktop/project ml/voice/203.wav,,,,,,,,
818,818,819,819,1,6,m,30,4917,C:/Users/vcc/Desktop/project ml/voice/4917.wav,,,,,,,,
14292,14412,14436,14436,1,7,m,60,2711,C:/Users/vcc/Desktop/project ml/voice/2711.wav,,,,,,,,
1245,1245,1246,1246,1,10,f,25,16673,C:/Users/vcc/Desktop/project ml/voice/16673.wav,,,,,,,,
3800,3920,3943,3943,4,10,f,49,2962,C:/Users/vcc/Desktop/project ml/voice/2962.wav,,,,,,,,
2036,2036,2037,2037,2,1,m,33,448,C:/Users/vcc/Desktop/project ml/voice/448.wav,,,,,,,,
4243,4363,4386,4386,2,8,m,36,752,C:/Users/vcc/Desktop/project ml/voice/752.wav,,,,,,,,
16207,16327,16351,16351,3,10,m,13,13072,C:/Users/vcc/Desktop/project ml/voice/13072.wav,,,,,,,,
9594,9714,9737,9737,4,4,m,27,1382,C:/Users/vcc/Desktop/project ml/voice/1382.wav,,,,,,,,
4945,5065,5088,5088,3,10,f,60,7815,C:/Users/vcc/Desktop/project ml/voice/7815.wav,,,,,,,,
12956,13076,13100,13100,1,2,m,51,4181,C:/Users/vcc/Desktop/project ml/voice/4181.wav,,,,,,,,
906,906,907,907,1,8,m,21,11290,C:/Users/vcc/Desktop/project ml/voice/11290.wav,,,,,,,,
10063,10183,10206,10206,1,5,f,51,12242,C:/Users/vcc/Desktop/project ml/voice/12242.wav,,,,,,,,
7641,7761,7784,7784,1,6,f,24,5317,C:/Users/vcc/Desktop/project ml/voice/5317.wav,,,,,,,,
8880,9000,9023,9023,4,4,f,22,9470,C:/Users/vcc/Desktop/project ml/voice/9470.wav,,,,,,,,
11654,11774,11797,11797,4,4,m,60,16452,C:/Users/vcc/Desktop/project ml/voice/16452.wav,,,,,,,,
9151,9271,9294,9294,1,4,m,36,9386,C:/Users/vcc/Desktop/project ml/voice/9386.wav,,,,,,,,
13404,13524,13548,13548,2,4,m,24,13735,C:/Users/vcc/Desktop/project ml/voice/13735.wav,,,,,,,,
5749,5869,5892,5892,3,2,f,27,10709,C:/Users/vcc/Desktop/project ml/voice/10709.wav,,,,,,,,
6868,6988,7011,7011,1,8,f,28,3965,C:/Users/vcc/Desktop/project ml/voice/3965.wav,,,,,,,,
10137,10257,10280,10280,4,9,m,31,12301,C:/Users/vcc/Desktop/project ml/voice/12301.wav,,,,,,,,
9059,9179,9202,9202,1,1,f,24,9294,C:/Users/vcc/Desktop/project ml/voice/9294.wav,,,,,,,,
10638,10758,10781,10781,3,6,m,20,8199,C:/Users/vcc/Desktop/project ml/voice/8199.wav,,,,,,,,
10474,10594,10617,10617,2,8,m,35,8046,C:/Users/vcc/Desktop/project ml/voice/8046.wav,,,,,,,,
11936,12056,12079,12079,3,3,m,29,7223,C:/Users/vcc/Desktop/project ml/voice/7223.wav,,,,,,,,
226,226,226,226,3,7,m,21,16223,C:/Users/vcc/Desktop/project ml/voice/16223.wav,,,,,,,,
6637,6757,6780,6780,2,6,m,56,7398,C:/Users/vcc/Desktop/project ml/voice/7398.wav,,,,,,,,
15176,15296,15320,15320,1,8,m,23,3195,C:/Users/vcc/Desktop/project ml/voice/3195.wav,,,,,,,,
14593,14713,14737,14737,2,2,m,21,10991,C:/Users/vcc/Desktop/project ml/voice/10991.wav,,,,,,,,
16123,16243,16267,16267,1,6,f,24,13254,C:/Users/vcc/Desktop/project ml/voice/13254.wav,,,,,,,,
3026,3054,3077,3077,3,2,f,22,6946,C:/Users/vcc/Desktop/project ml/voice/6946.wav,,,,,,,,
13882,14002,14026,14026,2,5,f,23,3434,C:/Users/vcc/Desktop/project ml/voice/3434.wav,,,,,,,,
15894,16014,16038,16038,3,7,f,43,9841,C:/Users/vcc/Desktop/project ml/voice/9841.wav,,,,,,,,
13658,13778,13802,13802,4,1,f,41,13962,C:/Users/vcc/Desktop/project ml/voice/13962.wav,,,,,,,,
8967,9087,9110,9110,1,1,m,55,9535,C:/Users/vcc/Desktop/project ml/voice/9535.wav,,,,,,,,
9149,9269,9292,9292,3,3,m,36,9384,C:/Users/vcc/Desktop/project ml/voice/9384.wav,,,,,,,,
9967,10087,10110,10110,3,9,m,58,3811,C:/Users/vcc/Desktop/project ml/voice/3811.wav,,,,,,,,
12904,13024,13048,13048,4,8,f,28,195,C:/Users/vcc/Desktop/project ml/voice/195.wav,,,,,,,,
15890,16010,16034,16034,3,6,f,43,9837,C:/Users/vcc/Desktop/project ml/voice/9837.wav,,,,,,,,
13926,14046,14070,14070,2,9,f,56,3490,C:/Users/vcc/Desktop/project ml/voice/3490.wav,,,,,,,,
9392,9512,9535,9535,2,4,m,39,1180,C:/Users/vcc/Desktop/project ml/voice/1180.wav,,,,,,,,
2604,2604,2605,2605,2,9,m,60,6170,C:/Users/vcc/Desktop/project ml/voice/6170.wav,,,,,,,,
9468,9588,9611,9611,2,3,m,28,1256,C:/Users/vcc/Desktop/project ml/voice/1256.wav,,,,,,,,
5159,5279,5302,5302,1,5,m,34,15533,C:/Users/vcc/Desktop/project ml/voice/15533.wav,,,,,,,,
9793,9913,9936,9936,3,4,f,25,1068,C:/Users/vcc/Desktop/project ml/voice/1068.wav,,,,,,,,
1722,1722,1723,1723,2,7,m,20,12979,C:/Users/vcc/Desktop/project ml/voice/12979.wav,,,,,,,,
12476,12596,12619,12619,2,1,f,44,8298,C:/Users/vcc/Desktop/project ml/voice/8298.wav,,,,,,,,
6295,6415,6438,6438,3,9,f,32,11500,C:/Users/vcc/Desktop/project ml/voice/11500.wav,,,,,,,,
14979,15099,15123,15123,4,2,m,56,6864,C:/Users/vcc/Desktop/project ml/voice/6864.wav,,,,,,,,
13980,14100,14124,14124,4,3,m,25,3508,C:/Users/vcc/Desktop/project ml/voice/3508.wav,,,,,,,,
8490,8610,8633,8633,4,2,m,24,14086,C:/Users/vcc/Desktop/project ml/voice/14086.wav,,,,,,,,
6240,6360,6383,6383,2,4,f,24,11439,C:/Users/vcc/Desktop/project ml/voice/11439.wav,,,,,,,,
1701,1701,1702,1702,4,6,f,25,12937,C:/Users/vcc/Desktop/project ml/voice/12937.wav,,,,,,,,
12096,12216,12239,12239,2,5,m,31,14856,C:/Users/vcc/Desktop/project ml/voice/14856.wav,,,,,,,,
8990,9110,9133,9133,3,7,f,50,9601,C:/Users/vcc/Desktop/project ml/voice/9601.wav,,,,,,,,
15810,15930,15954,15954,3,6,m,23,9757,C:/Users/vcc/Desktop/project ml/voice/9757.wav,,,,,,,,
9901,10021,10044,10044,1,3,m,24,3745,C:/Users/vcc/Desktop/project ml/voice/3745.wav,,,,,,,,
11999,12119,12142,12142,1,1,f,19,14719,C:/Users/vcc/Desktop/project ml/voice/14719.wav,,,,,,,,
11528,11648,11671,11671,2,10,f,46,9171,C:/Users/vcc/Desktop/project ml/voice/9171.wav,,,,,,,,
2209,2209,2210,2210,3,4,f,26,621,C:/Users/vcc/Desktop/project ml/voice/621.wav,,,,,,,,
13970,14090,14114,14114,3,3,m,25,3507,C:/Users/vcc/Desktop/project ml/voice/3507.wav,,,,,,,,
3088,3208,3231,3231,4,2,f,26,14246,C:/Users/vcc/Desktop/project ml/voice/14246.wav,,,,,,,,
9440,9560,9583,9583,2,6,m,43,1228,C:/Users/vcc/Desktop/project ml/voice/1228.wav,,,,,,,,
13974,14094,14118,14118,3,7,m,25,3523,C:/Users/vcc/Desktop/project ml/voice/3523.wav,,,,,,,,
9209,9329,9352,9352,3,8,m,39,9444,C:/Users/vcc/Desktop/project ml/voice/9444.wav,,,,,,,,
1210,1210,1211,1211,2,5,m,10,16654,C:/Users/vcc/Desktop/project ml/voice/16654.wav,,,,,,,,
14863,14983,15007,15007,4,6,m,23,6760,C:/Users/vcc/Desktop/project ml/voice/6760.wav,,,,,,,,
16475,16595,16619,16619,1,3,m,35,12194,C:/Users/vcc/Desktop/project ml/voice/12194.wav,,,,,,,,
16229,16349,16373,16373,3,2,f,27,13200,C:/Users/vcc/Desktop/project ml/voice/13200.wav,,,,,,,,
6522,6642,6665,6665,2,7,m,31,15424,C:/Users/vcc/Desktop/project ml/voice/15424.wav,,,,,,,,
6270,6390,6413,6413,1,4,f,32,11478,C:/Users/vcc/Desktop/project ml/voice/11478.wav,,,,,,,,
10048,10168,10191,10191,3,10,f,20,3855,C:/Users/vcc/Desktop/project ml/voice/3855.wav,,,,,,,,
8476,8596,8619,8619,2,8,m,24,14108,C:/Users/vcc/Desktop/project ml/voice/14108.wav,,,,,,,,
4464,4584,4607,4607,4,9,m,27,958,C:/Users/vcc/Desktop/project ml/voice/958.wav,,,,,,,,
12814,12934,12958,12958,1,6,m,24,104,C:/Users/vcc/Desktop/project ml/voice/104.wav,,,,,,,,
14496,14616,14640,14640,1,8,f,22,10894,C:/Users/vcc/Desktop/project ml/voice/10894.wav,,,,,,,,
758,758,759,759,1,1,m,26,4857,C:/Users/vcc/Desktop/project ml/voice/4857.wav,,,,,,,,
8614,8734,8757,8757,4,6,m,24,14222,C:/Users/vcc/Desktop/project ml/voice/14222.wav,,,,,,,,
14846,14966,14990,14990,2,9,m,23,6770,C:/Users/vcc/Desktop/project ml/voice/6770.wav,,,,,,,,
12094,12214,12237,12237,4,4,m,31,14854,C:/Users/vcc/Desktop/project ml/voice/14854.wav,,,,,,,,
16339,16459,16483,16483,4,8,f,51,12057,C:/Users/vcc/Desktop/project ml/voice/12057.wav,,,,,,,,
5378,5498,5521,5521,3,7,m,30,13390,C:/Users/vcc/Desktop/project ml/voice/13390.wav,,,,,,,,
2393,2393,2394,2394,1,8,f,46,367,C:/Users/vcc/Desktop/project ml/voice/367.wav,,,,,,,,
5935,6055,6078,6078,3,8,m,44,5047,C:/Users/vcc/Desktop/project ml/voice/5047.wav,,,,,,,,
757,757,758,758,4,10,f,30,4816,C:/Users/vcc/Desktop/project ml/voice/4816.wav,,,,,,,,
3915,4035,4058,4058,4,5,f,61,2146,C:/Users/vcc/Desktop/project ml/voice/2146.wav,,,,,,,,
6447,6567,6590,6590,3,1,f,50,15363,C:/Users/vcc/Desktop/project ml/voice/15363.wav,,,,,,,,
8625,8745,8768,8768,3,2,f,21,8700,C:/Users/vcc/Desktop/project ml/voice/8700.wav,,,,,,,,
16053,16173,16197,16197,3,6,m,63,15143,C:/Users/vcc/Desktop/project ml/voice/15143.wav,,,,,,,,
15621,15741,15765,15765,2,9,f,19,12619,C:/Users/vcc/Desktop/project ml/voice/12619.wav,,,,,,,,
5942,6062,6085,6085,4,5,m,44,5036,C:/Users/vcc/Desktop/project ml/voice/5036.wav,,,,,,,,
5465,5585,5608,5608,3,9,m,20,8571,C:/Users/vcc/Desktop/project ml/voice/8571.wav,,,,,,,,
1218,1218,1219,1219,3,3,m,10,16647,C:/Users/vcc/Desktop/project ml/voice/16647.wav,,,,,,,,
2433,2433,2434,2434,1,8,f,50,6005,C:/Users/vcc/Desktop/project ml/voice/6005.wav,,,,,,,,
6842,6962,6985,6985,3,2,m,23,3903,C:/Users/vcc/Desktop/project ml/voice/3903.wav,,,,,,,,
10462,10582,10605,10605,1,6,m,35,8037,C:/Users/vcc/Desktop/project ml/voice/8037.wav,,,,,,,,
6109,6229,6252,6252,1,3,m,25,12714,C:/Users/vcc/Desktop/project ml/voice/12714.wav,,,,,,,,
8791,8911,8934,8934,1,4,m,31,8866,C:/Users/vcc/Desktop/project ml/voice/8866.wav,,,,,,,,
8983,9103,9126,9126,1,2,f,50,9579,C:/Users/vcc/Desktop/project ml/voice/9579.wav,,,,,,,,
1138,1138,1139,1139,3,3,f,21,13492,C:/Users/vcc/Desktop/project ml/voice/13492.wav,,,,,,,,
5622,5742,5765,5765,1,5,m,55,10676,C:/Users/vcc/Desktop/project ml/voice/10676.wav,,,,,,,,
11415,11535,11558,11558,2,5,f,21,9111,C:/Users/vcc/Desktop/project ml/voice/9111.wav,,,,,,,,
15517,15637,15661,15661,2,3,f,34,12515,C:/Users/vcc/Desktop/project ml/voice/12515.wav,,,,,,,,
10264,10384,10407,10407,1,6,f,19,15221,C:/Users/vcc/Desktop/project ml/voice/15221.wav,,,,,,,,
15154,15274,15298,15298,3,2,m,23,3173,C:/Users/vcc/Desktop/project ml/voice/3173.wav,,,,,,,,
15366,15486,15510,15510,2,9,f,35,4610,C:/Users/vcc/Desktop/project ml/voice/4610.wav,,,,,,,,
15364,15484,15508,15508,2,7,f,35,4602,C:/Users/vcc/Desktop/project ml/voice/4602.wav,,,,,,,,
4848,4968,4991,4991,2,6,f,51,7718,C:/Users/vcc/Desktop/project ml/voice/7718.wav,,,,,,,,
8976,9096,9119,9119,4,3,m,55,9546,C:/Users/vcc/Desktop/project ml/voice/9546.wav,,,,,,,,
9177,9297,9320,9320,3,10,m,36,9372,C:/Users/vcc/Desktop/project ml/voice/9372.wav,,,,,,,,
5819,5939,5962,5962,4,2,m,30,10753,C:/Users/vcc/Desktop/project ml/voice/10753.wav,,,,,,,,
9314,9434,9457,9457,4,3,f,14,9025,C:/Users/vcc/Desktop/project ml/voice/9025.wav,,,,,,,,
15742,15862,15886,15886,3,9,m,24,9689,C:/Users/vcc/Desktop/project ml/voice/9689.wav,,,,,,,,
8810,8930,8953,8953,4,8,m,31,8885,C:/Users/vcc/Desktop/project ml/voice/8885.wav,,,,,,,,
8264,8384,8407,8407,1,1,f,19,11866,C:/Users/vcc/Desktop/project ml/voice/11866.wav,,,,,,,,
7572,7692,7715,7715,4,8,f,52,5248,C:/Users/vcc/Desktop/project ml/voice/5248.wav,,,,,,,,
8447,8567,8590,8590,3,9,m,56,14073,C:/Users/vcc/Desktop/project ml/voice/14073.wav,,,,,,,,
6994,7114,7137,7137,2,4,m,23,4070,C:/Users/vcc/Desktop/project ml/voice/4070.wav,,,,,,,,
11946,12066,12089,12089,4,3,m,29,7224,C:/Users/vcc/Desktop/project ml/voice/7224.wav,,,,,,,,
4446,4566,4589,4589,3,1,m,27,925,C:/Users/vcc/Desktop/project ml/voice/925.wav,,,,,,,,
279,279,279,279,1,1,f,33,16277,C:/Users/vcc/Desktop/project ml/voice/16277.wav,,,,,,,,
11134,11254,11277,11277,3,4,m,22,6468,C:/Users/vcc/Desktop/project ml/voice/6468.wav,,,,,,,,
6453,6573,6596,6596,3,7,f,50,15387,C:/Users/vcc/Desktop/project ml/voice/15387.wav,,,,,,,,
16144,16264,16288,16288,2,7,m,13,13099,C:/Users/vcc/Desktop/project ml/voice/13099.wav,,,,,,,,
15424,15544,15568,15568,1,10,f,50,12382,C:/Users/vcc/Desktop/project ml/voice/12382.wav,,,,,,,,
2106,2106,2107,2107,1,1,m,23,527,C:/Users/vcc/Desktop/project ml/voice/527.wav,,,,,,,,
8286,8406,8429,8429,4,6,f,19,11889,C:/Users/vcc/Desktop/project ml/voice/11889.wav,,,,,,,,
13865,13985,14009,14009,2,9,m,19,6690,C:/Users/vcc/Desktop/project ml/voice/6690.wav,,,,,,,,
1384,1384,1385,1385,3,9,m,26,16822,C:/Users/vcc/Desktop/project ml/voice/16822.wav,,,,,,,,
11401,11521,11544,11544,1,1,m,48,9214,C:/Users/vcc/Desktop/project ml/voice/9214.wav,,,,,,,,
9455,9575,9598,9598,1,10,m,43,1203,C:/Users/vcc/Desktop/project ml/voice/1203.wav,,,,,,,,
6977,7097,7120,7120,4,7,f,45,4044,C:/Users/vcc/Desktop/project ml/voice/4044.wav,,,,,,,,
15580,15700,15724,15724,1,9,m,60,12578,C:/Users/vcc/Desktop/project ml/voice/12578.wav,,,,,,,,
9477,9597,9620,9620,3,5,m,28,1265,C:/Users/vcc/Desktop/project ml/voice/1265.wav,,,,,,,,
3338,3458,3481,3481,2,8,m,52,17016,C:/Users/vcc/Desktop/project ml/voice/17016.wav,,,,,,,,
13131,13251,13275,13275,4,5,m,20,4356,C:/Users/vcc/Desktop/project ml/voice/4356.wav,,,,,,,,
5660,5780,5803,5803,2,3,m,20,10795,C:/Users/vcc/Desktop/project ml/voice/10795.wav,,,,,,,,
14158,14278,14302,14302,3,3,m,45,11756,C:/Users/vcc/Desktop/project ml/voice/11756.wav,,,,,,,,
8523,8643,8666,8666,3,5,f,56,14137,C:/Users/vcc/Desktop/project ml/voice/14137.wav,,,,,,,,
13086,13206,13230,13230,3,4,f,23,4311,C:/Users/vcc/Desktop/project ml/voice/4311.wav,,,,,,,,
15590,15710,15734,15734,3,1,f,19,12588,C:/Users/vcc/Desktop/project ml/voice/12588.wav,,,,,,,,
4931,5051,5074,5074,1,7,m,25,7801,C:/Users/vcc/Desktop/project ml/voice/7801.wav,,,,,,,,
